# Keithley DMM6500 Oscilloscope Data Export
# MM Experiment - 120° Measurement
# Date: 2025-06-05 18:02:58
# Operator: Physics Lab Student
# Channels: CH1 (Blue) - L1 Arm, CH2 (Green) - L2 Arm
# Sample Rate: 1.0 MS/s
# Time Base: 1ms/div
# Voltage Scale: 200mV/div
# Signal Frequency: 1000 Hz
# Temperature: 22.3°C, Humidity: 45%
# L1 Phase: 200.000°
# L2 Phase: 203.300°
# Phase Difference: 3.300°
#
Time(s),CH1_L1_Blue(V),CH2_L2_Green(V)
0.000000,-0.470434,-0.324775
0.000001,-0.113531,-0.017593
0.000002,0.039452,0.465500
0.000003,-0.077962,0.015091
0.000004,0.332392,0.627334
0.000005,0.302264,-0.473101
0.000006,-0.021204,0.311900
0.000007,0.192293,-0.579015
0.000008,0.034182,-0.476713
0.000009,-0.250765,-0.130449
0.000010,0.000065,0.167425
0.000011,-0.253098,0.275745
0.000012,-0.006782,-0.065197
0.000013,-0.267982,-0.026211
0.000014,0.545471,0.485759
0.000015,-0.108517,0.039726
0.000016,0.730963,-0.202682
0.000017,0.039230,0.135294
0.000018,-0.017804,-0.269869
0.000019,0.224847,-0.315424
0.000020,-0.306355,-0.166236
0.000021,-0.037849,0.338662
0.000022,0.124962,0.495590
0.000023,0.024336,0.352202
0.000024,0.170462,0.147625
0.000025,0.172455,0.253404
0.000026,-0.216030,-0.244820
0.000027,-0.168478,0.494795
0.000028,-0.026743,0.239662
0.000029,0.191221,0.595334
0.000030,-0.130847,-0.070969
0.000031,0.177634,-0.414061
0.000032,-0.263949,0.189394
0.000033,0.323104,-0.219258
0.000034,0.007857,0.170758
0.000035,0.732867,0.269224
0.000036,-0.005241,0.268395
0.000037,0.034886,0.122330
0.000038,0.387970,-0.020772
0.000039,-0.012935,0.374208
0.000040,-0.053648,-0.275838
0.000041,-0.059910,-0.228238
0.000042,-0.051035,-0.491143
0.000043,-0.004856,-0.038321
0.000044,-0.347085,-0.288135
0.000045,0.058120,-0.293925
0.000046,-0.195829,0.507845
0.000047,-0.080935,0.105405
0.000048,0.652117,0.001364
0.000049,-0.192294,0.167408
0.000050,0.449352,0.300277
0.000051,0.244647,0.148034
0.000052,0.003809,-0.202128
0.000053,0.350428,-0.095784
0.000054,0.155674,0.048952
0.000055,0.116250,-0.248593
0.000056,-0.001522,0.099442
0.000057,0.243958,0.230921
0.000058,-0.100271,0.242618
0.000059,0.203552,0.512547
0.000060,0.164570,0.509731
0.000061,0.154551,-0.201803
0.000062,-0.148595,0.403096
0.000063,-0.183358,0.445240
0.000064,0.904848,0.051341
0.000065,1.008172,0.355612
0.000066,-0.188121,-0.254978
0.000067,0.064235,-0.195228
0.000068,-0.028182,0.520769
0.000069,0.464672,-0.128426
0.000070,0.216222,0.122038
0.000071,0.170980,0.324810
0.000072,0.560650,0.014858
0.000073,0.179673,-0.086203
0.000074,-0.279060,0.271818
0.000075,0.584592,-0.018854
0.000076,0.673761,-0.018512
0.000077,-0.071221,0.475464
0.000078,0.175677,-0.119910
0.000079,0.367864,-0.417741
0.000080,0.478756,0.373143
0.000081,-0.036432,-0.080178
0.000082,0.065501,0.271525
0.000083,0.876004,0.710914
0.000084,0.894840,-0.320336
0.000085,0.171964,0.629603
0.000086,-0.008536,0.334135
0.000087,-0.079539,0.222480
0.000088,0.323555,0.428423
0.000089,-0.119676,0.075323
0.000090,0.574469,0.530815
0.000091,-0.110669,0.123178
0.000092,0.823046,0.625554
0.000093,0.828185,0.963083
0.000094,0.733480,0.271387
0.000095,0.342502,0.310524
0.000096,0.815938,-0.168372
0.000097,-0.031191,0.627963
0.000098,0.664687,0.679858
0.000099,0.177876,0.611395
0.000100,-0.080465,0.163024
0.000101,1.275313,0.318424
0.000102,0.188816,0.449011
0.000103,0.318881,0.112295
0.000104,0.260138,-0.035992
0.000105,-0.094035,0.086637
0.000106,0.580951,0.160605
0.000107,0.129931,0.079809
0.000108,0.162899,-0.093826
0.000109,0.020131,0.210519
0.000110,-0.082775,-0.118064
0.000111,0.231887,-0.128834
0.000112,-0.075444,0.569470
0.000113,0.959432,0.122791
0.000114,-0.004716,0.007416
0.000115,-0.089890,0.263249
0.000116,0.515630,0.026361
0.000117,-0.346588,0.275579
0.000118,0.398412,0.314391
0.000119,0.111252,0.609943
0.000120,0.197669,0.061242
0.000121,-0.111365,0.711898
0.000122,0.588526,0.406812
0.000123,0.047977,0.193345
0.000124,0.645500,0.320805
0.000125,0.443846,0.749020
0.000126,0.808304,0.158591
0.000127,0.447800,0.144701
0.000128,0.382419,0.397244
0.000129,-0.143667,-0.138869
0.000130,0.295647,0.308005
0.000131,0.142380,0.494796
0.000132,0.036553,0.358113
0.000133,-0.127262,0.311295
0.000134,0.432583,0.551699
0.000135,0.386698,0.306671
0.000136,0.445400,0.514503
0.000137,0.176625,0.467113
0.000138,0.630392,0.655941
0.000139,0.395626,0.053452
0.000140,0.630819,0.199413
0.000141,0.473722,-0.509316
0.000142,0.477152,-0.300888
0.000143,0.527723,0.116065
0.000144,-0.064095,0.602989
0.000145,-0.210930,0.595591
0.000146,0.044187,0.103221
0.000147,0.403659,0.145997
0.000148,1.044228,0.946649
0.000149,0.604884,-0.022981
0.000150,0.588340,0.494161
0.000151,-0.147619,0.519546
0.000152,0.313097,0.474675
0.000153,0.757739,0.590278
0.000154,0.904952,0.531615
0.000155,0.069913,-0.170991
0.000156,1.162095,0.193067
0.000157,0.305401,-0.051042
0.000158,0.451255,0.926386
0.000159,0.295034,0.756355
0.000160,0.661399,-0.009781
0.000161,0.150945,0.682177
0.000162,0.461164,0.529606
0.000163,0.665149,0.043957
0.000164,0.248532,0.764510
0.000165,0.350763,0.493322
0.000166,0.416266,0.607106
0.000167,0.558846,0.347969
0.000168,-0.344250,0.197086
0.000169,0.308829,0.461454
0.000170,-0.292982,0.164828
0.000171,0.413662,0.456450
0.000172,0.392274,-0.244262
0.000173,0.449154,0.222656
0.000174,0.579855,0.383664
0.000175,0.554042,-0.189491
0.000176,-0.093600,0.347022
0.000177,0.156817,-0.007346
0.000178,0.600379,0.987783
0.000179,0.314463,-0.414517
0.000180,0.068550,0.087588
0.000181,-0.069545,0.552359
0.000182,0.460629,0.746486
0.000183,-0.290293,0.340313
0.000184,0.416709,0.291827
0.000185,-0.226636,0.454654
0.000186,0.506361,-0.143825
0.000187,0.063700,0.806171
0.000188,0.341617,0.258907
0.000189,0.566535,0.256278
0.000190,0.066973,0.098914
0.000191,0.472966,0.167270
0.000192,0.765886,0.997273
0.000193,0.358803,0.754165
0.000194,0.774820,0.360056
0.000195,0.863679,0.167713
0.000196,0.370817,0.460707
0.000197,0.521518,0.205236
0.000198,0.117168,0.411795
0.000199,0.586089,0.465752
0.000200,0.620119,0.060870
0.000201,0.722445,-0.026529
0.000202,0.079297,0.312313
0.000203,0.476321,0.464479
0.000204,0.565294,0.753062
0.000205,0.561406,0.605964
0.000206,0.092120,0.366005
0.000207,0.665222,0.171975
0.000208,0.012129,0.214386
0.000209,0.650741,0.373362
0.000210,1.435316,0.309130
0.000211,0.017080,0.074627
0.000212,1.013904,0.637173
0.000213,0.425538,-0.027119
0.000214,0.605498,0.332543
0.000215,-0.093320,-0.187229
0.000216,0.512202,0.138117
0.000217,0.119013,0.419749
0.000218,0.408042,0.333697
0.000219,0.102971,0.299280
0.000220,0.761568,0.320292
0.000221,0.153922,1.063532
0.000222,0.157829,0.256157
0.000223,0.946171,0.157276
0.000224,0.692485,0.651906
0.000225,0.380691,0.332842
0.000226,0.296861,0.411836
0.000227,0.186725,0.420675
0.000228,0.356258,0.405893
0.000229,-0.044838,0.502093
0.000230,0.291418,0.220014
0.000231,-0.051149,0.168454
0.000232,0.857232,0.969259
0.000233,0.805975,0.111871
0.000234,0.490193,0.547905
0.000235,0.179889,0.229854
0.000236,0.302546,0.353031
0.000237,0.456109,0.368221
0.000238,0.235123,-0.025308
0.000239,0.443589,0.762195
0.000240,0.796023,0.073325
0.000241,0.840552,0.867854
0.000242,-0.005923,0.747193
0.000243,0.050821,0.049927
0.000244,0.211798,-0.003145
0.000245,0.751339,0.408723
0.000246,0.100901,0.049414
0.000247,0.402982,0.310481
0.000248,0.346785,0.643227
0.000249,0.849553,0.466872
0.000250,0.649332,0.667692
0.000251,0.158487,0.259914
0.000252,0.581724,0.757792
0.000253,0.343738,0.810198
0.000254,-0.300277,-0.049248
0.000255,0.489508,0.568553
0.000256,0.796532,0.558356
0.000257,0.452847,0.365265
0.000258,0.587784,0.816460
0.000259,0.825388,0.229189
0.000260,0.340482,0.373539
0.000261,0.879595,0.064470
0.000262,0.495024,0.766774
0.000263,0.148967,0.078863
0.000264,-0.006535,0.555400
0.000265,0.431917,0.312263
0.000266,0.652453,0.395320
0.000267,0.687501,0.801465
0.000268,0.544643,-0.040075
0.000269,0.348120,0.523565
0.000270,0.135031,0.401869
0.000271,0.630314,0.575525
0.000272,0.405629,0.223904
0.000273,0.466916,0.545914
0.000274,0.543461,0.151354
0.000275,0.401653,1.002597
0.000276,0.032094,0.319315
0.000277,0.145332,0.320077
0.000278,0.591155,0.458903
0.000279,0.542450,0.155289
0.000280,0.246670,0.446861
0.000281,0.442429,0.401809
0.000282,0.458217,0.571330
0.000283,0.107176,0.308345
0.000284,0.147271,0.066662
0.000285,0.794116,0.066324
0.000286,0.544886,0.619742
0.000287,-0.008590,-0.248104
0.000288,0.203300,0.855607
0.000289,0.365482,0.550012
0.000290,0.555119,0.610676
0.000291,1.003068,0.582423
0.000292,0.296499,0.805637
0.000293,0.031600,0.308074
0.000294,0.109279,0.071108
0.000295,0.710828,0.185374
0.000296,0.710937,0.031486
0.000297,1.043099,0.220795
0.000298,0.643546,0.476807
0.000299,0.493489,0.135402
0.000300,0.181426,0.133095
0.000301,0.841700,0.083706
0.000302,0.591731,0.342610
0.000303,0.543941,1.237610
0.000304,0.502010,0.027074
0.000305,0.687807,0.834075
0.000306,0.842731,0.191682
0.000307,0.691058,0.187559
0.000308,0.739227,0.481672
0.000309,0.183457,0.267317
0.000310,0.489600,0.580181
0.000311,0.431717,0.733412
0.000312,-0.230793,-0.074256
0.000313,0.426465,0.676727
0.000314,0.777654,0.126083
0.000315,0.286767,0.072684
0.000316,0.675761,0.595370
0.000317,0.341235,0.279182
0.000318,-0.010563,0.387328
0.000319,0.311021,0.037313
0.000320,0.071899,0.387970
0.000321,0.477980,0.141214
0.000322,0.065288,0.280448
0.000323,0.474730,0.140279
0.000324,0.069005,0.695480
0.000325,-0.329641,0.170500
0.000326,0.377687,0.624973
0.000327,0.237106,0.235665
0.000328,-0.076343,0.639851
0.000329,-0.253407,0.684630
0.000330,0.408541,0.852881
0.000331,-0.022776,-0.247307
0.000332,0.104640,0.400173
0.000333,0.438600,-0.115336
0.000334,0.440459,0.228873
0.000335,0.492517,0.124359
0.000336,0.490398,0.030601
0.000337,0.248910,0.116791
0.000338,0.589523,0.529733
0.000339,0.682126,0.022770
0.000340,0.436696,0.261894
0.000341,0.099114,0.373958
0.000342,0.498077,0.494302
0.000343,0.202189,0.457543
0.000344,-0.139034,-0.116897
0.000345,0.792216,0.535849
0.000346,0.062012,-0.067151
0.000347,0.698446,0.176900
0.000348,0.004084,0.744226
0.000349,0.901064,0.687228
0.000350,0.949208,0.049521
0.000351,-0.298431,-0.318979
0.000352,0.644464,0.350603
0.000353,0.695656,0.077640
0.000354,0.442138,0.422894
0.000355,0.043082,0.485394
0.000356,0.543496,0.693696
0.000357,0.294430,0.793440
0.000358,0.250799,0.595248
0.000359,0.461349,0.659628
0.000360,0.088361,0.581193
0.000361,0.388943,1.221123
0.000362,0.301331,0.673761
0.000363,0.185328,0.364813
0.000364,0.840076,-0.226685
0.000365,0.197052,0.488779
0.000366,0.140985,0.176872
0.000367,0.202125,0.121549
0.000368,0.583021,0.428266
0.000369,0.200862,0.619327
0.000370,0.250101,0.332972
0.000371,0.143870,0.537235
0.000372,0.596224,0.475906
0.000373,0.690783,0.044921
0.000374,0.445036,0.289576
0.000375,-0.098259,0.033268
0.000376,0.249882,0.083137
0.000377,0.151189,-0.149437
0.000378,0.333888,0.343212
0.000379,-0.111363,0.147745
0.000380,0.103562,-0.112845
0.000381,0.511162,0.541045
0.000382,0.351106,0.648020
0.000383,0.195358,0.846054
0.000384,0.086441,0.432740
0.000385,0.532746,0.339493
0.000386,0.182341,0.442287
0.000387,0.352882,0.147261
0.000388,0.187348,0.643323
0.000389,0.490237,-0.020802
